,context,question,answer,source_doc
0,"Le Acai Fruit Pot 100ml est un e-liquide à booster issu de la collection Fruits de la marque Chuffed, auxsaveurs fraîches de kiwi, fraise et baie d'açaï. Sa recette fabriquée en France se compose d'arômes alimentaires, de propylène glycol (PG) et de glycérine végétale (VG), pour un ratio 30PG/70VG. Présenté dans une fiole de 120ml dotée d'un bouchon sécurisé et d'un embout fin,vous pouvez au besoin lui additionnerdu liquide de base ou des boosters 10ml de nicotine (non inclus). Qui est Chuffed ? Chuffed est une marque originaire du Royaume-Uni, spécialisée dans la conception de e-liquides pour cigarette électronique. Retrouvez les recettes de Chuffed en format de 100ml, non nicotinés de base et à booster en fonction de vos besoins. Comment préparer votre e-liquide Acai Fruit Pot ? Ce e-liquide est proposé en version100mlboostée en arômes dans un flacon de120ml. Si vous le souhaitez, vous pouvez ajouter un ou plusieurs boosters de nicotine selon vos besoins sans perte de saveur. Pour booster votre e-liquide, vous devez : Indications pour préparer votre e-liquide surboosté de 50 ml : La place disponible dans le flacon d'origine n’est peut-être pas suffisante pour booster votre e-liquide au taux de nicotine souhaité. Pour les dosages importants, nous vous conseillons l’utilisation de contenants plus importants commeun flacon de 100ml graduéouun flacon Twist de 230ml gradué. Astuce : pensez à adapter votre matériel au ratio PG/VG de votre e-liquide ! Vous limiterez ainsi le risque de fuite et l’usure prématurée de vos résistances ! Quel taux de nicotine choisir pour votre e-liquide ? Le choix de votre taux de nicotine dépend de votre profil de fumeur ainsi que de la cigarette électronique utilisée : Si vous utilisez du matériel plus performant avec une résistance inférieure à 1 ohm et pour une puissance supérieure à 30 watts, vous pouvez diviser votre taux de nicotine par deux",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : Le Acai Fruit Pot 100ml est un e-liquide à booster issu de la collection Fruits de la marque Chuffed, auxsaveurs fraîches de kiwi, fraise et baie d'açaï. Sa recette fabriquée en France se compose d'arômes alimentaires",../../RGBD/table_produits/produits.csv
1,". Nos conseils pour la maturation de votre e-liquide surboosté De la même façon que pour un e-liquide DIY, on peut observer un temps de repos avec un e-liquide surboosté en arômes après l’ajout d’un ou plusieurs boosters de nicotine. Ce temps de maturation que l’on appelle aussi “steep” permet aux arômes de se développer et de mieux s’exprimer. Pour une maturation optimale, il faut compter : Pour un rendu optimal : secouez votre fiole de e-liquide une fois par jour pour que les arômes se diffusent correctement. Conservation de votre e-liquide Pour une conservation optimale de votre e-liquide, nous vous conseillons de stocker votre flacon à l'abri de la lumière dans un droit sec et à température ambiante. Après contacts répétés à l'air et à la lumière, la couleur de votre e-liquide peut se foncer. Ce changement de couleur n'affecte ni la qualité ni le goût de votre e-liquide. La date indiquée sur l'étiquette est une DLUO (date limite d'utilisation optimale) ou DDM (date de durabilité minimale). Passé cette date, le e-liquide peut encore être consommé.",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : . Nos conseils pour la maturation de votre e-liquide surboosté De la même façon que pour un e-liquide DIY, on peut observer un temps de repos avec un e-liquide surboosté en arômes après l’ajout d’un ou plusieurs boost",../../RGBD/table_produits/produits.csv
2,". Nos conseils pour la maturation de votre e-liquide surboosté De la même façon que pour un e-liquide DIY, on peut observer un temps de repos avec un e-liquide surboosté en arômes après l’ajout d’un ou plusieurs boosters de nicotine. Ce temps de maturation que l’on appelle aussi “steep” permet aux arômes de se développer et de mieux s’exprimer. Pour une maturation optimale, il faut compter : Pour un rendu optimal : secouez votre fiole de e-liquide une fois par jour pour que les arômes se diffusent correctement. Conservation de votre e-liquide Pour une conservation optimale de votre e-liquide, nous vous conseillons de stocker votre flacon à l'abri de la lumière dans un droit sec et à température ambiante. Après contacts répétés à l'air et à la lumière, la couleur de votre e-liquide peut se foncer. Ce changement de couleur n'affecte ni la qualité ni le goût de votre e-liquide. La date indiquée sur l'étiquette est une DLUO (date limite d'utilisation optimale) ou DDM (date de durabilité minimale). Passé cette date, le e-liquide peut encore être consommé.",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : . Nos conseils pour la maturation de votre e-liquide surboosté De la même façon que pour un e-liquide DIY, on peut observer un temps de repos avec un e-liquide surboosté en arômes après l’ajout d’un ou plusieurs boost",../../RGBD/table_produits/produits.csv
3,"Le Forest Fruits 100ml est un e-liquide à booster issu de la collection Fruits de la marque Chuffed, auxsaveurs de myrtilles, de fraises et de framboises. Sa recette fabriquée en France se compose d'arômes alimentaires, de propylène glycol (PG) et de glycérine végétale (VG), pour un ratio 30PG/70VG. Présenté dans une fiole de 120ml dotée d'un bouchon sécurisé et d'un embout fin,vous pouvez au besoin lui additionnerdu liquide de base ou des boosters 10ml de nicotine (non inclus). Qui est Chuffed ? Chuffed est une marque originaire du Royaume-Uni, spécialisée dans la conception de e-liquides pour cigarette électronique. Retrouvez les recettes de Chuffed en format de 100ml, non nicotinés de base et à booster en fonction de vos besoins. Comment préparer votre e-liquide Forest Fruits ? Ce e-liquide est proposé en version100mlboostée en arômes dans un flacon de120ml. Si vous le souhaitez, vous pouvez ajouter un ou plusieurs boosters de nicotine selon vos besoins sans perte de saveur. Pour booster votre e-liquide, vous devez : Indications pour préparer votre e-liquide surboosté de 50 ml : La place disponible dans le flacon d'origine n’est peut-être pas suffisante pour booster votre e-liquide au taux de nicotine souhaité. Pour les dosages importants, nous vous conseillons l’utilisation de contenants plus importants commeun flacon de 100ml graduéouun flacon Twist de 230ml gradué. Astuce : pensez à adapter votre matériel au ratio PG/VG de votre e-liquide ! Vous limiterez ainsi le risque de fuite et l’usure prématurée de vos résistances ! Quel taux de nicotine choisir pour votre e-liquide ? Le choix de votre taux de nicotine dépend de votre profil de fumeur ainsi que de la cigarette électronique utilisée : Si vous utilisez du matériel plus performant avec une résistance inférieure à 1 ohm et pour une puissance supérieure à 30 watts, vous pouvez diviser votre taux de nicotine par deux",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : Le Forest Fruits 100ml est un e-liquide à booster issu de la collection Fruits de la marque Chuffed, auxsaveurs de myrtilles, de fraises et de framboises. Sa recette fabriquée en France se compose d'arômes alimentaire",../../RGBD/table_produits/produits.csv
4,". Pour bien l'utiliser, suivez les conseils des pandas d'A&L ! Sans nicotine Vous avez choisi le e-liquide Kami Ultimate en 50ml et souhaitez le vapotersans nicotine? Il vous suffira : Avec nicotine Vous avez encore besoin d'un petit taux de nicotine, par exempleen 3 mg/ml? Grâce à son flacon PET de 60ml, le e-liquide Kami Ultimate en 50ml sera en mesure de vous contenter : Astuce : pour un taux en 1.5 mg/ml de nicotine, versez seulement la moitié de votre booster de nicotine. N.B : cette phase de préparation est également réalisable à partir d'un booster en sel de nicotine ou au CBD. Attention, pour un taux supérieur à 3 mg/ml de nicotine, impossible d'utiliser le flacon 60ml dans lequel le Kami Ultimate vous est livré. Il faudra vous munir d'un flacon vide, bien plus grand. Quid de la maturation ? Tout e-liquide pour cigarette électronique est prêt à vaper. De fait, il ne demande pas de temps de maturation particulier. Pour autant, vous pouvez toujours décider d'en observer un, de48 heures seulement(surtout si vous avez choisi de nicotiner votre produit à l'aide d'un booster). Les arômes s'harmoniseront et le rendu aromatique sera alors optimal ! À qui est destiné le Kami 50ml ? Imaginépour tous les vapoteurs, le Kami s'adresse à quiconque recherche de la qualité, des saveurs authentiques et fraîches minutieusement dosées. Aboutie, sa recette fraîche de fraises et de pitayas ne ressemble à aucune autre (et pourtant elle a de nombreux concurrents). Et, avec un tel format prêt à vaper, vous pourrez décider de vapoter le e-liquide Kami avec ou sans nicotine. En bref, le Kami estsimple à utiliser,et livré dans un flacon sécurisé et facile à transporter ! De quoi se compose l'Ultimate Kami en 50ml ? Le e-liquide Kami Ultimate 50ml de chez Arômes et Liquides vous assure d'une qualité et d'une traçabilité exemplaires.Entièrement imaginé et conditionné en France par A&L, il est minutieusement contrôlé à chaque étape, afin de vous garantir des ingrédients premium et sains",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : . Pour bien l'utiliser, suivez les conseils des pandas d'A&L ! Sans nicotine Vous avez choisi le e-liquide Kami Ultimate en 50ml et souhaitez le vapotersans nicotine? Il vous suffira : Avec nicotine Vous avez encore b",../../RGBD/table_produits/produits.csv
5,"Le Oni Ultimate 10ml est un e-liquide pour cigarette électronique signé Arômes et Liquides (A&L). Il est proposé ici enversion prête à l'emploi. Vous pourrez donc l'utiliser de suite dans votre matériel ! Disponible en plusieurs taux de nicotine (0, 3, 6 et 12mg/ml), il est surtout destiné aux vapoteurs débutants. Mais pas que ! Sonduo de citrons vert et jaune, ainsi que dessaveursfraîchesen font un e-liquide pour tout le monde. Qu'est-ce que le Oni Ultimate ? Le e-liquide Oni ? Unerecetteque l'on ne présente plus mêlant du citron jaune et du citron vert, ainsi que du frais. Plus encore, le Oni Ultimate c'est unformat prêt à vaper, en 10ml, permettant à n'importe quel vapoteur de commencer immédiatement sa séance de vapotage au bon taux nicotinique ! Mais surtout, le e liquide Oni est un produit pour cigarette électronique dequalité premium, entièrement imaginé et fabriqué en France, dans les laboratoires et locaux d'Arômes et Liquides ! Pourquoi choisir le Oni en e-liquide 10ml ? Pensé pour tous les vapoteurs qui débutent dans le monde de la vape, le e-liquide Oni Ultimate se démarque par son format : en fiole 10ml,il contient déjà tout ce qu'il vous faut pour démarrer votre séance de vapotage immédiatement ! Parfaitement travaillé, dosé et nicotiné, il n'a pas besoin d'autre chose que votre cigarette électronique pour être vapoté ! Le e-liquide Oni, c'est la simplicité, en toute praticité et efficacité. Comment s'utilise le Oni e-liquide ? Une fois le taux nicotinique sélectionné, vous recevrez votre ou vos fioles 10ml de e-liquide Oni. Là, vous dévisserez simplement son bouchon sécurisé (attention, protection enfant : appuyez puis tournez). Vous placerez son embout fin dans votre clearomiseur ou atomiseur (dans l'orifice de remplissage dédié) et vous remplirez votre réservoir de ce produit haut en saveurs",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : Le Oni Ultimate 10ml est un e-liquide pour cigarette électronique signé Arômes et Liquides (A&L). Il est proposé ici enversion prête à l'emploi. Vous pourrez donc l'utiliser de suite dans votre matériel ! Disponible e",../../RGBD/table_produits/produits.csv
6,". Astuce : pensez à adapter votre matériel au ratio PG/VG de votre e-liquide ! Vous limiterez ainsi le risque de fuite et l’usure prématurée de vos résistances ! Quel taux de nicotine choisir pour votre e-liquide ? Le choix de votre taux de nicotine dépend de votre profil de fumeur ainsi que de la cigarette électronique utilisée : Si vous utilisez du matériel plus performant avec une résistance inférieure à 1 ohm et pour une puissance supérieure à 30 watts, vous pouvez diviser votre taux de nicotine par deux. Nos conseils pour la maturation de votre e-liquide surboosté De la même façon que pour un e-liquide DIY, on peut observer un temps de repos avec un e-liquide surboosté en arômes après l’ajout d’un ou plusieurs boosters de nicotine. Ce temps de maturation que l’on appelle aussi “steep” permet aux arômes de se développer et de mieux s’exprimer. Pour une maturation optimale, il faut compter : Pour un rendu optimal : secouez votre fiole de e-liquide une fois par jour pour que les arômes se diffusent correctement. Conservation de votre e-liquide Pour une conservation optimale de votre e-liquide, nous vous conseillons de stocker votre flacon à l'abri de la lumière dans un droit sec et à température ambiante. Après contacts répétés à l'air et à la lumière, la couleur de votre e-liquide peut se foncer. Ce changement de couleur n'affecte ni la qualité ni le goût de votre e-liquide. La date indiquée sur l'étiquette est une DLUO (date limite d'utilisation optimale) ou DDM (date de durabilité minimale). Passé cette date, le e-liquide peut encore être consommé.",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : . Astuce : pensez à adapter votre matériel au ratio PG/VG de votre e-liquide ! Vous limiterez ainsi le risque de fuite et l’usure prématurée de vos résistances ! Quel taux de nicotine choisir pour votre e-liquide ? Le",../../RGBD/table_produits/produits.csv
7,". Si vous utilisez une cigarette électronique équipée d'une résistance égale ou supérieure à 1 ohm et à une puissance ne dépassant pas les 30 watts, voici nos recommandations pour choisir votre taux de nicotine : Si vous utilisez une cigarette électronique plus performante équipée de résistances dont la valeur est inférieure à 1 ohm et pour une puissance supérieure à 30 watts, nous vous conseillons d'utiliser un taux de nicotine plus faible : Conservation de votre e-liquide Pour une conservation optimale de votre e-liquide, nous vous conseillons de stocker votre flacon à l'abri de la lumière dans un droit sec et à température ambiante. Après contacts répétés à l'air et à la lumière, la couleur de votre e-liquide peut se foncer. Ce changement de couleur n'affecte ni la qualité ni le goût de votre e-liquide. La date indiquée sur l'étiquette est une DLUO (date limite d'utilisation optimale) ou DDM (date de durabilité minimale). Passé cette date, le e-liquide peut encore être consommé. Mises en garde et contre-indications : Précautions d'emploi :",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : . Si vous utilisez une cigarette électronique équipée d'une résistance égale ou supérieure à 1 ohm et à une puissance ne dépassant pas les 30 watts, voici nos recommandations pour choisir votre taux de nicotine : Si v",../../RGBD/table_produits/produits.csv
8,"Le Red Astaire 50ml est un e-liquide pour cigarette électronique, au format à booster, fabriqué au Royaume-Uni par T-Juice. Il vous propose dessaveurs fraîches de fruits rouges, d'anis, de menthe et d'eucalyptus. Il est composé d'arômes alimentaires, de propylène glycol, et de glycérine végétale dans unratio PG/VG de 40/60, ce qui vous permettra d'obtenir une vapeur dense et un rendu en bouche bien savoureux. Ce e-liquide est conditionné en fioles de 60ml de type PET remplies à hauteur de 50ml afin de vous permettre d'ajouter un booster de nicotine en 20mg/ml au besoin, pour obtenir un e-liquide au taux final de 3mg/ml de nicotine. Qui est T-Juice ? Implanté en Angleterre, et plus particulièrement dans le sud-ouest de Londres, la marque T-Juice vous présente une collection de recettes diverses et variées. Que ce soit des e-liquides ou arômes concentrés DIY (Do It Yourself), soyez certain de faire le bon choix avec la marque T-Juice ! Mondialement reconnu pour sa recette du Red Astaire, n'hésitez pas à découvrir des recettes encore plus vastes, mais toujours aussi abouties. Comment préparer votre e-liquide Raven Blue ? Le Red Astaire est proposé en version50mlboostée en arômes dans un flacon de60ml. Si vous le souhaitez, vous pouvez ainsi ajouter un ou plusieurs boosters de nicotine selon vos besoins sans perte de saveur. Pour booster votre e-liquide, vous devez : Indications pour préparer votre e-liquide surboosté de 50 ml : La place disponible dans le flacon d'origine n’est peut-être pas suffisante pour booster votre e-liquide au taux de nicotine souhaité. Pour les dosages importants, nous vous conseillons l’utilisation de contenants plus importants commeun flacon de 100ml graduéouun flacon Twist de 230ml gradué",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : Le Red Astaire 50ml est un e-liquide pour cigarette électronique, au format à booster, fabriqué au Royaume-Uni par T-Juice. Il vous propose dessaveurs fraîches de fruits rouges, d'anis, de menthe et d'eucalyptus. Il e",../../RGBD/table_produits/produits.csv
9,"Ce e-liquide pour cigarette électronique augoût de pomme verteest fabriqué en France par Arômes et Liquides (A&L). Il est composé d'arômes alimentaires, de propylène glycol (PG) et de glycérine végétale (VG) dans unratio 50PG/50VGpour un compromis idéal entre rendu de saveur, hit et volume de vapeur. Le e liquide Pomme Verte par A&L est conditionné en fiole de 10 ml avec sécurité enfant et embout fin pour faciliter le remplissage des clearomiseurs de vos cigarettes électroniques. Ce savoureux nectar est disponible en 0, 3, 6 et 12 mg/ml de nicotine. Qui est Arômes et Liquides (A&L) ? Arômes et Liquides (A&L) est un fabricant français de e-liquides et concentrés DIY depuis 2012. Avec ses laborantins situés non loin de Saint-Étienne dans la Loire, il vous présente une vaste collection de saveurs allant des plus simples aux plus complexes. La marque s'est notamment distinguée dans l'univers de la vape grâce à sa recette classic du Ryan USA de la gamme A&L, puis du mix au goût de fruits rouges Ragnarok de la collection Ultimate. Nos conseils pour utiliser votre e-liquide Pomme L'utilisation d'un e-liquide est exclusivement réservée à la cigarette électronique. Nous vous recommandons de bien agiter votre flacon de e-liquide avant emploi. Pour limiter les risques de fuites et prolonger la durée de vie de vos résistances, nous vous conseillons d'utiliser un clearomiseur adapté au taux PG/VG de votre e-liquide. Quel taux de nicotine choisir pour votre e-liquide ? Le choix de votre taux de nicotine dépend de votre profil de fumeur ainsi que de la cigarette électronique utilisée",(votre question factuelle sur le produit e-liquide),"(votre réponse à la question factuelle)

Voici maintenant le contexte.

Contexte : Ce e-liquide pour cigarette électronique augoût de pomme verteest fabriqué en France par Arômes et Liquides (A&L). Il est composé d'arômes alimentaires, de propylène glycol (PG) et de glycérine végétale (VG) dans unra",../../RGBD/table_produits/produits.csv
